0,194
1,0
2,1
3,2
4,3
5,4
6,5
7,6
8,7
9,8
10,9
11,10
12,11
13,12
14,13
15,14
16,15
17,8
18,16
19,16
20,8
21,17
22,10
23,194
24,8
25,18
26,15
27,10
28,7
29,8
30,10
31,7
32,19
33,19
34,7
35,15
36,194
37,21
38,20
39,21
40,20
41,21
42,22
43,20
44,20
45,20
46,20
47,194
48,21
49,22
50,22
51,22
52,20
53,20
54,0
55,194
56,194
57,0
58,20
59,194
60,194
61,0
62,194
63,0
64,20
65,20
66,20
67,194
68,20
69,194
70,194
71,0
72,194
73,194
74,0
75,0
76,0
77,194
78,194
79,0
80,194
81,0
82,0
83,0
84,194
85,194
86,194
87,194
88,0
89,194
90,194
91,194
92,0
93,194
94,0
95,194
96,0
97,194
98,0
99,0
100,0
101,0
102,0
103,0
104,194
105,0
106,194
107,194
108,194
109,194
110,194
111,194
112,194
113,0
114,0
115,16
116,0
117,0
118,194
119,194
120,194
121,0
122,194
123,194
124,194
125,16
126,22
127,16
128,194
129,194
130,194
131,0
132,194
133,22
134,0
135,194
136,194
137,0
138,0
139,194
140,194
141,194
142,0
143,0
144,194
145,194
146,194
147,194
148,194
149,194
150,0
151,194
152,0
153,194
154,0
155,0
156,0
157,0
158,0
159,194
160,194
161,194
162,194
163,194
164,194
165,194
166,194
167,194
168,0
169,194
170,194
171,194
172,194
173,22
174,22
175,194
176,194
177,22
178,22
179,22
180,22
181,16
182,0
183,16
184,16
185,0
186,16
187,16
188,16
189,22
190,194
191,16
192,194
193,194
194,194
195,194
196,0
197,0
198,194
199,0
200,0
201,0
202,0
203,194
204,194
205,194
206,194
207,0
208,0
209,0
210,0
211,0
212,0
213,194
214,194
215,0
216,194
217,194
218,0
219,0
220,194
221,0
222,0
223,194
224,0
225,194
226,0
227,0
228,0
229,0
230,0
231,0
232,194
233,194
