0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,2
8,6
9,3
10,7
11,8
12,9
13,5
14,10
15,10
16,11
17,0
18,2
19,11
20,8
21,12
22,0
23,12
24,9
25,2
26,9
27,11
28,0
29,11
30,0
31,12
32,5
33,0
34,8
35,8
36,9
37,11
38,0
39,5
40,5
41,3
42,8
43,7
44,8
45,8
46,12
47,0
48,0
49,12
50,7
51,12
52,12
53,12
54,12
55,12
56,12
57,12
58,12
59,12
60,12
61,12
62,12
63,12
64,12
65,12
66,12
67,0
68,0
69,5
70,12
71,12
72,12
73,12
74,12
75,12
76,12
77,12
78,8
79,8
80,12
81,12
82,8
83,8
84,0
85,5
86,5
87,8
88,8
89,8
90,9
91,9
92,0
93,8
94,9
95,9
96,12
97,12
98,9
99,9
100,12
101,11
102,12
103,12
104,11
105,11
106,11
107,10
108,9
109,0
110,11
111,11
112,0
113,0
114,8
115,9
116,9
117,12
118,12
119,12
120,12
121,0
122,0
123,0
124,0
125,12
126,0
127,12
128,12
129,12
130,11
131,11
132,12
133,12
134,12
135,11
136,12
137,11
138,11
139,11
140,11
141,11
142,11
143,11
144,11
145,12
146,0
147,0
148,0
149,0
150,5
151,0
152,10
153,12
154,10
155,0
156,0
157,0
158,10
159,10
160,10
161,11
162,10
163,11
164,10
165,10
166,10
167,10
168,10
169,0
170,10
171,10
172,10
173,11
174,11
175,12
176,10
177,12
178,12
179,12
180,11
181,11
182,12
183,11
184,12
185,11
186,12
187,9
